SL_No.,Clothing_ID,Age,Review,Rating,Recommendation_Indicator,Positive_Feedback_Count,Department_Name
1,1077,60,Some major design flaws,3,0,0,Dresses
2,1049,50,My favorite buy!,5,1,0,Bottoms
3,847,47,Flattering shirt,5,1,6,Tops
4,1080,49,Not for the very petite,2,0,4,Dresses
5,858,39,Cagrcoal shimmer fun,5,1,1,Tops
6,858,39,"Shimmer, surprisingly goes with lots",4,1,4,Tops
7,1077,24,Flattering,5,1,0,Dresses
8,1077,34,Such a fun dress!,5,1,0,Dresses
9,1077,53,Dress looks like it's made of cheap material,3,0,14,Dresses
10,1095,53,Perfect!!!,5,1,2,Dresses
11,767,44,Runs big,5,1,0,Intimate
12,1077,50,Pretty party dress with some issues,3,1,1,Dresses
13,1065,47,"Nice, but not for my body",4,1,3,Bottoms
14,1065,34,"You need to be at least average height, or taller",3,1,2,Bottoms
15,853,41,Looks great with white pants,5,1,0,Tops
16,1120,32,Super cute and cozy,5,1,0,Jackets
17,1077,47,Stylish and comfortable,5,1,0,Dresses
18,847,33,"Cute, crisp shirt",4,1,2,Tops
19,1080,55,I'm torn!,4,1,14,Dresses
20,1077,31,Not what it looks like,2,0,7,Dresses
21,1077,34,"Like it, but don't love it.",3,1,0,Dresses
22,847,55,Versatile,5,1,0,Tops
23,697,31,Falls flat,3,0,0,Intimate
24,949,33,Huge disappointment,2,0,0,Tops
25,1003,31,"Loved, but returned",4,1,0,Bottoms
26,684,53,Great shirt!!!,5,1,2,Intimate
27,4,28,Great layering piece,5,1,0,Tops
28,1060,46,Cuter in oerson!,5,1,7,Bottoms
29,1060,21,Love these pants,5,1,0,Bottoms
30,949,36,Mehh,2,0,0,Tops
31,697,39,Love this dress!,5,1,0,Intimate
32,1060,65,Lovely!,4,1,3,Bottoms
33,949,38,Beautifully cut lightweight coat,5,1,1,Tops
34,910,23,Soft & lovely,5,1,0,Tops
35,89,67,Some things you should know...,4,1,1,Intimate
36,862,48,Beautiful!,5,1,9,Tops
37,862,43,Love the two tone design,4,1,0,Tops
38,910,56,Love the color!,5,1,0,Tops
39,862,33,Love the embroidery!,5,1,0,Tops
40,862,46,Cute for fall,4,1,1,Tops
41,862,41,Love,5,1,2,Tops
42,862,39,Flattering and comfortable,5,1,34,Tops
43,862,66,Cute top,4,1,2,Tops
44,862,61,Soft and cute as can be!,5,1,2,Tops
45,862,31,"Boring front, great back",3,0,0,Tops
46,368,52,Soft and comfortable,4,1,1,Intimate
47,1095,41,Gorgeous dress!,5,1,0,Dresses
48,368,36,Itchy tags,1,0,0,Intimate
49,862,28,Must have,5,1,0,Tops
50,862,57,Cute top! love the brand,5,1,1,Tops
51,862,43,Love this top,5,1,0,Tops
52,862,60,Super cute and unique top,4,1,9,Tops
53,862,40,Beautiful top,5,1,1,Tops
54,862,37,I wanted to love this top...,2,0,0,Tops
55,1078,56,Great summer fabric!,3,0,1,Dresses
56,845,38,"Cute, but massive sweep",4,1,10,Tops
57,822,36,Short and boxy,2,0,0,Tops
58,850,27,Beautiful design,5,1,4,Tops
59,845,48,Very very cute but a lot of fabric,5,1,5,Tops
60,1082,31,Runs large in top and waist,4,1,0,Dresses
61,850,28,Zipper broke,2,0,0,Tops
62,836,47,Obsessed,5,1,1,Tops
63,1081,62,So cute...but dry clean?!,4,1,2,Dresses
64,1072,68,Elegant classic dress,5,1,1,Dresses
65,1133,33,Cute parka!,5,1,0,Jackets
66,822,68,Just lovely,5,1,3,Tops
67,861,37,Casual & unique tee,3,1,0,Tops
68,850,39,Neutral blue,4,1,0,Tops
69,1081,39,True to size to large,4,1,9,Dresses
70,845,38,Huge,2,0,4,Tops
71,836,24,"Pretty, but not for me...",4,1,3,Tops
72,1078,51,Sweet flattering dress,4,1,0,Dresses
73,850,23,"Beautifully made, but not versatile",4,1,3,Tops
74,863,83,Casual elegance!,5,1,14,Tops
75,861,44,Huge,1,0,0,Tops
76,861,33,Pernette henley,3,0,17,Tops
77,861,39,Comfy,4,1,0,Tops
78,863,40,"Simple, stylish, lovely-runs a bit big",4,1,5,Tops
79,822,69,Stunning lace top,5,1,2,Tops
80,822,23,Not a fan,2,0,9,Tops
81,836,66,Excited ... but ...,5,1,0,Tops
82,836,47,Beautiful shirt but runs small!,4,1,11,Tops
83,836,66,Beautiful,4,1,0,Tops
84,836,23,Perfect fall shirt!,5,1,3,Tops
85,861,44,Poor quality,1,0,11,Tops
86,1081,44,An almost for me...,3,1,4,Dresses
87,836,50,"Beautiful, stunning, cozy top!",5,1,24,Tops
88,1081,61,Cute and comfy,5,1,3,Dresses
89,1082,32,Disappointing quality,2,0,0,Dresses
90,863,52,Cute tee,4,1,0,Tops
91,1072,51,Very vintage feel,4,1,1,Dresses
92,850,37,Awkward fitting,2,0,0,Tops
93,836,54,Cozy casual - perfect for fall,5,1,4,Tops
